nconst	primaryName	birthYear	deathYear	primaryProfession	knownForTitles
nm0215455	Ronnie Del Carmen	1959	\N	art_department,animation_department,miscellaneous	tt0166813,tt2096673,tt0106364,tt1049413
nm0217270	Enzo Dell'Aquila	\N	\N	writer,director,assistant_director	tt0197806,tt0171038,tt0062157,tt0171279
nm0218621	James DeMonaco	1969	\N	writer,producer,director	tt2184339,tt2975578,tt4094724,tt6133466
nm0219456	Gill Dennis	1941	2015	writer,actor,director	tt0074486,tt0176326,tt0358273,tt0105052
nm0219670	Roger Q. Denny	\N	\N	writer,director	tt0350692,tt0240379,tt0033467,tt0844342
nm0220600	Scott Derrickson	1966	\N	writer,director,producer	tt0404032,tt1922777,tt1211837,tt0970416
nm0220892	Tom DeSanto	\N	\N	producer,writer,director	tt0418279,tt2109248,tt4701182,tt0120903
nm0223964	Fernando Di Leo	1932	2003	writer,director,actor	tt0077191,tt0195209,tt0080075,tt0067429
nm0224634	I.A.L. Diamond	1920	1988	writer,producer,soundtrack	tt0060424,tt0053291,tt0053604,tt0066249
nm0225820	Joan Didion	1934	\N	writer,miscellaneous	tt0067549,tt0118055,tt1517451,tt2336538
nm0228492	Steve Ditko	1927	2018	writer,miscellaneous	tt0316654,tt0948470,tt0145487,tt2250912
nm0228908	Leslie Dixon	\N	\N	producer,writer	tt0427327,tt0322330,tt1563742,tt1219289
nm0229644	Lem Dobbs	1958	\N	writer,producer,actor	tt0118929,tt0165854,tt0102181,tt1506999
nm0229694	David Dobkin	1969	\N	producer,director,writer	tt1872194,tt1972591,tt0790736,tt0486583
nm0230032	Pete Docter	1968	\N	writer,producer,director	tt0198781,tt0910970,tt1049413,tt2096673
nm0230666	Walt Dohrn	1970	\N	writer,actor,art_department	tt0864835,tt1679335,tt0892791,tt0413267
nm0231946	Heather Donahue	1974	\N	actress,writer	tt0185937,tt0204175,tt0220034,tt0289830
nm0233561	Cliff Dorfman	\N	\N	writer,actor,producer	tt0289765,tt0829435,tt1291584,tt0387199
nm0233563	David Dorfman	\N	\N	writer,producer	tt0270980,tt0305224,tt1986770,tt1411664
nm0233757	Jaco Van Dormael	1957	\N	director,writer,actor	tt0116581,tt0485947,tt3792960,tt0103105
nm0234837	Don Dougherty	\N	\N	art_department,animation_department,writer	tt1449283,tt0120855,tt0114148,tt0119282
nm0236279	Arthur Conan Doyle	1859	1930	writer,producer,actor	tt0086661,tt0163492,tt0988045,tt1475582
nm0236884	Diane Drake	\N	\N	writer	tt7634968,tt1667150,tt0110737,tt0207201
nm0236966	Matt Drake	\N	\N	writer	tt0115369,tt1196948,tt1636826,tt0212604
nm0238668	Ann Druyan	1949	\N	writer,director,producer	tt0081846,tt0118884,tt2395695,tt11170862
nm0238893	Du Lu Wang	1909	1977	writer	tt3981658,tt2652118,tt0190332
nm0240627	Troy Duffy	1971	\N	writer,director,actor	tt0144117,tt3402106,tt6824596,tt1300851
nm0240797	Dennis Dugan	1946	\N	actor,director,producer	tt0142342,tt0116483,tt0960144,tt0077070
nm0242869	John Gregory Dunne	1932	2003	writer	tt1517451,tt0067549,tt0075265,tt0118055
nm0244110	Todd Durham	\N	\N	writer,director,producer	tt0837562,tt2510894,tt0141270
nm0245888	Jesse Dylan	1966	\N	director,producer,writer	tt0278488,tt0384642,tt1198099,tt0328828
nm0247653	Kevin Eastman	1962	\N	writer,actor,producer	tt0108308,tt0100758,tt0103060,tt1291150
nm0247939	Fred Ebb	1928	2004	soundtrack,writer,music_department	tt0068327,tt1723811,tt0299658,tt0256153
nm0250995	Ralph Eggleston	1965	\N	animation_department,art_department,production_designer	tt0198781,tt2096673,tt0114709,tt0910970
nm0251536	Bernd Eichinger	1949	2011	producer,writer,actor	tt0091605,tt0765432,tt0363163,tt0396171
nm0252346	Joe Ekers	\N	\N	art_department,animation_department,miscellaneous	tt0120913,tt0120762,tt0110357,tt0266543
nm0254085	Tom Ellery	\N	\N	animation_department,art_department,miscellaneous	tt2294629,tt0371606,tt0780521,tt0101414
nm0254213	David Elliot	\N	\N	writer,producer,director	tt0204626,tt0430105,tt1046173,tt0119806
nm0254645	Ted Elliott	1961	\N	writer,producer,miscellaneous	tt0103639,tt0126029,tt0325980,tt1210819
nm0254735	Bret Easton Ellis	1964	\N	writer,director,producer	tt0292644,tt0144084,tt0093407,tt2292959
nm0255278	James Ellroy	1948	\N	writer,producer,actor	tt0119488,tt0387877,tt0185014,tt0421073
nm0255296	Carl Ellsworth	\N	\N	writer,miscellaneous,actor	tt0421239,tt0844708,tt0486822,tt1234719
nm0256079	Matt Ember	1961	\N	producer,writer,script_department	tt2224026,tt0848537,tt0425061,tt0427229
nm0257513	Ryan Engle	1979	\N	writer,director,producer	tt1590193,tt2231461,tt2024469,tt7137846
nm0258059	Thom Enriquez	\N	\N	art_department,animation_department,production_designer	tt0110357,tt0097428,tt0130623,tt0119282
nm0258268	Richard Epcar	1955	\N	actor,miscellaneous,writer	tt9445030,tt9398566,tt9031646,tt2973418
nm0258286	Delia Ephron	1944	\N	writer,producer,soundtrack	tt0117038,tt0374536,tt0128853,tt0403508
nm0258390	Jack Epps Jr.	1949	\N	writer,producer,camera_department	tt0118615,tt0099422,tt0092099,tt0098536
nm0258493	Julius J. Epstein	1909	2000	writer,producer	tt0036613,tt0034583,tt0084591,tt0069080
nm0258525	Philip G. Epstein	1909	1952	writer,producer	tt0037094,tt0029303,tt0034583,tt0036613
nm0262595	Bruce A. Evans	1946	\N	writer,producer,director	tt0092005,tt0104647,tt0088172,tt0780571
nm0264338	Carlos Ezquerra	1947	2018	writer	tt6873692,tt3142252,tt1343727,tt0113492
nm0264520	Steve Faber	\N	\N	writer,producer,actor	tt0137302,tt1723121,tt0396269,tt0247122
nm0266430	Michael Fallon	\N	\N	writer,actor	tt0418294,tt0094593,tt0099740,tt0110475
nm0266673	Barry Fanaro	\N	\N	producer,writer,miscellaneous	tt0088526,tt0762107,tt0116778,tt0120912
nm0266684	Hampton Fancher	1938	\N	actor,writer,director	tt0083658,tt0151582,tt0097880,tt1856101
nm0267512	Valerie Faris	1958	\N	director,producer,writer	tt0449059,tt4648296,tt1839492,tt4622512
nm0268370	Bobby Farrelly	1958	\N	producer,director,writer	tt0256380,tt0181739,tt0129387,tt0183505
nm0268380	Peter Farrelly	1956	\N	producer,writer,director	tt0129387,tt6966692,tt0109686,tt1333125
nm0269463	Jon Favreau	1966	\N	producer,actor,director	tt0371746,tt0117802,tt2883512,tt4154796
nm0269542	Nat Faxon	\N	\N	actor,producer,writer	tt1033575,tt1284575,tt1727388,tt0331953
nm0270761	Bruce Feirstein	1956	\N	writer,producer,director	tt0094512,tt0120347,tt0113189,tt0143145
nm0271501	Julian Fellowes	1949	\N	actor,writer,producer	tt1031241,tt0369053,tt1606375,tt0280707
nm0272511	Larry Ferguson	1940	\N	writer,actor,director	tt0092644,tt0091203,tt0103644,tt0099810
nm0274853	Franco Ferrini	1944	\N	writer,actor,miscellaneous	tt1895315,tt0087843,tt0093677,tt0092722
nm0274905	Michael Ferris	1961	\N	writer,producer,actor	tt0181852,tt0113957,tt0119174,tt0438488
nm0274923	Walter Ferris	1882	1965	writer,script_department	tt0119643,tt0031604,tt0030150,tt0040382
nm0275264	Joachim Fest	1926	2006	miscellaneous,writer,director	tt1882586,tt6521350,tt0191182,tt0363163
nm0275486	Tina Fey	1970	\N	writer,actress,producer	tt1850457,tt1279935,tt0377092,tt0496424
nm0275629	Glenn Ficarra	\N	\N	producer,writer,director	tt5555260,tt1045772,tt0239395,tt2381941
nm0276144	Helen Fielding	1958	\N	writer,producer,miscellaneous	tt0317198,tt1473832,tt0083458,tt0243155
nm0276252	Herbert Fields	1897	1958	writer,actor	tt0021859,tt0048171,tt0030293,tt0031442
nm0277590	Anne Fine	1947	\N	writer	tt0107614,tt0143277,tt0447268,tt1515743
nm0277730	Bill Finger	1914	1974	writer,miscellaneous	tt2975590,tt4853102,tt7286456,tt0974015
nm0280179	Benedict Fitzgerald	1949	\N	writer,producer,miscellaneous	tt6343742,tt0335345,tt0190590,tt0080140
nm0280234	F. Scott Fitzgerald	1896	1940	writer	tt0041061,tt0014960,tt1343092,tt0421715
nm0281396	Ryan Fleck	1976	\N	director,writer,cinematographer	tt4154664,tt0990413,tt0468489,tt0804497
nm0281508	Ruben Fleischer	1974	\N	producer,writer,director	\N
nm0281808	Victor Fleming	1889	1949	director,cinematographer,producer	tt0032138,tt0035959,tt0031381,tt0030848
nm0281945	Anne Fletcher	1966	\N	miscellaneous,director,actress	tt0395699,tt0427327,tt0462590,tt1041829
nm0285126	Lloyd Fonvielle	1950	2015	writer,producer,director	tt0120616,tt1786376,tt0095246,tt0092746
nm0285210	Horton Foote	1916	2009	writer,actor,producer	tt0056592,tt0086423,tt0090203,tt0119823
nm0286025	Carl Foreman	1914	1984	writer,miscellaneous,producer	tt0050212,tt0044706,tt0069528,tt0054953
nm0286975	Marc Forster	1969	\N	producer,director,writer	tt0420223,tt0419887,tt0816711,tt0308644
nm0289708	Oscar Fraley	1914	1994	writer	tt0106165,tt0052522,tt0094226,tt0051328
nm0289833	Michael France	1962	2013	writer	tt0120667,tt0330793,tt0106582,tt0113189
nm0291082	Scott Frank	1960	\N	writer,producer,director	tt3315342,tt0427470,tt0181689,tt0120780
nm0291205	David Frankel	1959	\N	producer,director,writer	tt1196956,tt0458352,tt0185906,tt0096566
nm0291692	Steve Franks	\N	\N	writer,producer,music_department	tt4085584,tt0491738,tt0142342,tt6868216
nm0291905	David Franzoni	1947	\N	writer,producer,director	tt0118607,tt0172495,tt0103973,tt0349683
nm0293139	Alan Freedland	1964	\N	producer,writer,miscellaneous	tt1231583,tt4543708,tt1798701,tt0118375
nm0294379	Juan Carlos Fresnadillo	1967	\N	producer,director,writer	tt0463854,tt0116233,tt1634121,tt0220580
nm0294580	James Frey	1969	\N	producer,writer,actor	tt0168197,tt1464540,tt4733662,tt8722346
nm0294997	Jason Friedberg	1970	\N	writer,director,producer	tt0466342,tt1213644,tt1073498,tt0799949
nm0295264	Josh Friedman	\N	\N	writer,producer	tt0115857,tt0407304,tt6450804,tt0851851
nm0295791	John Frink	1959	\N	producer,writer,miscellaneous	tt0096697,tt0462538,tt1985949,tt0118506
nm0296154	Nikolaj Frobenius	1965	\N	writer,soundtrack,producer	tt1601227,tt0119375,tt0278504,tt2369205
nm0296545	Nick Frost	1972	\N	actor,producer,writer	tt1213663,tt1478964,tt0365748,tt1092026
nm0296737	Christopher Fry	1907	2005	writer	tt0060164,tt0348926,tt0055774,tt0045547
nm0297229	Jason Fuchs	1986	\N	actor,writer,producer	tt7349950,tt3332064,tt0451279,tt1667889
nm0298807	Antoine Fuqua	1965	\N	director,producer,actor	tt2404435,tt0455944,tt2302755,tt0139654
nm0300866	Stephen Gaghan	1965	\N	writer,miscellaneous,producer	tt1800302,tt0181865,tt0267248,tt0365737
nm0301274	Neil Gaiman	1960	\N	writer,producer,actor	tt0486655,tt0119698,tt0442933,tt1869454
nm0301826	Bob Gale	1951	\N	writer,director,producer	tt0096874,tt0088763,tt0099088,tt0165832
nm0303032	George Gallo	1956	\N	writer,director,producer	tt1251757,tt0095631,tt0112442,tt0101252
nm0304521	Christophe Gans	1960	\N	director,writer,producer	tt0384537,tt0237534,tt0112750,tt2316801
nm0304830	Robert Ben Garant	1970	\N	producer,writer,actor	tt0370194,tt1469304,tt0499554,tt0395699
nm0307311	Louis Garfinkle	1928	2005	writer,producer,director	tt0077416,tt2431566,tt0060261,tt0051755
nm0307497	Alex Garland	1970	\N	writer,producer,director	tt0289043,tt2798920,tt1334260,tt0470752
nm0308177	Oliver H.P. Garrett	1894	1952	writer,director	tt0039305,tt0029030,tt0034579,tt0021750
nm0308604	Robert Carson	1909	1983	writer	tt0034428,tt0047522,tt0029606,tt1517451
nm0309128	Andy Gaskill	\N	\N	art_department,animation_department,miscellaneous	tt0119282,tt0133240,tt0084827,tt0110357
nm0309691	John Gatins	\N	\N	actor,writer,producer	tt0433035,tt3717490,tt0477051,tt1907668
nm0310087	Peter Gaulke	\N	\N	writer,actor,producer	tt0239949,tt0438097,tt0265087,tt0489282
nm0312367	Bruce Geller	1930	1978	writer,producer,soundtrack	tt0053551,tt0060009,tt0061277,tt0117060
nm0312481	Woody Gelman	1915	1978	writer,animation_department	tt0151081,tt0429463,tt0116996
nm0312607	Jonathan Gems	\N	\N	writer,director,actor	tt0116996,tt0120871,tt0094317,tt0245538
nm0313570	Peter George	1924	1966	writer	tt0058083,tt0057012
nm0313623	Terry George	1952	\N	writer,producer,miscellaneous	tt0107207,tt4776998,tt0117690,tt0395169
nm0314153	Steve Gerber	1947	2008	miscellaneous,writer	tt3896198,tt0118266,tt0091225,tt2015381
nm0314788	Vance Gerry	1929	2005	animation_department,writer,art_department	tt0065421,tt0091149,tt0119282,tt0061852
nm0314870	Daniel Gerson	1966	2016	writer,actor,miscellaneous	tt1453405,tt0371606,tt0198781,tt2245084
nm0315065	Sacha Gervasi	1966	\N	writer,director,producer	tt1311076,tt0362227,tt0975645,tt1157605
nm0317279	Raynold Gideon	\N	\N	actor,writer,producer	tt0780571,tt0112401,tt0092005,tt0088172
nm0317450	Dr. Seuss	1904	1991	writer,producer,soundtrack	tt1482459,tt0170016,tt0312528,tt0451079
nm0317493	Keith Giffen	1952	\N	writer,animation_department,art_department	tt4154756,tt2015381,tt4154796,tt3896198
nm0317834	Mateo Gil	1972	\N	writer,director,assistant_director	tt1186830,tt4074928,tt0369702,tt0125659
nm0318429	David Giler	\N	\N	producer,writer,actor	tt0118583,tt0090605,tt0103644,tt0370263
nm0319213	Vince Gilligan	1967	\N	producer,writer,miscellaneous	tt0106179,tt9243946,tt3032476,tt0903747
nm0319659	Dan Gilroy	1959	\N	writer,director,producer	tt6000478,tt1194173,tt7043012,tt2872718
nm0322368	Francis Glebas	1953	\N	art_department,director,writer	tt0119282,tt0103639,tt0110357,tt0114148
nm0322839	Greg Glienna	1963	\N	writer,director,actor	tt0104844,tt0970866,tt0212338,tt0144867
nm0323239	Will Gluck	\N	\N	producer,writer,miscellaneous	tt1282140,tt1632708,tt5117670,tt1823664
nm0323708	Alain Godard	\N	\N	writer,producer	tt0215750,tt1701210,tt0091605,tt0114952
nm0323945	John Godey	1912	2006	writer	tt0072251,tt1111422,tt0063341,tt0097626
nm0325166	Brent Goldberg	\N	\N	writer,actor,director	tt0373416,tt0112740,tt0265208,tt0283111
nm0325533	Michael Goldenberg	1965	\N	writer,director,producer	tt0373889,tt1133985,tt0316396,tt0118884
nm0325743	Bo Goldman	1932	\N	writer,producer,soundtrack	tt0073486,tt0081150,tt0105323,tt0119643
nm0325778	Gary Goldman	1953	\N	writer,producer,miscellaneous	tt0435705,tt0090728,tt0100802,tt1386703
nm0326040	Akiva Goldsman	1962	\N	producer,writer,director	tt0352248,tt0268978,tt1119644,tt0118688
nm0326092	Josh Goldsmith	1970	\N	producer,writer,music_department	tt0759475,tt0337563,tt0207201,tt0165581
nm0326246	Jonathan Goldstein	1969	\N	producer,writer,miscellaneous	tt1499658,tt2704998,tt2250912
nm0326814	Ed Gombert	1951	\N	animation_department,art_department,writer	tt0120855,tt0110357,tt0114148,tt0103639
nm0327273	Michel Gondry	1963	\N	director,producer,writer	tt0799934,tt0354899,tt1618445,tt0338013
nm0327944	Alejandro G. Iñárritu	1963	\N	producer,director,writer	tt1164999,tt2562232,tt1663202,tt0449467
nm0329304	Frances Goodrich	1890	1984	writer,soundtrack	tt0040308,tt0041507,tt0047472,tt0038650
nm0329447	Doris Kearns Goodwin	1943	\N	miscellaneous,writer,actress	tt0443272,tt0098838,tt3301760,tt1844624
nm0330565	Robert Gordon	\N	\N	writer,producer	tt0339291,tt0177789,tt0346156,tt0120912
nm0330687	Joseph Gordon-Levitt	1981	\N	actor,producer,soundtrack	tt1276104,tt1375666,tt1306980,tt2229499
nm0331956	Carl Gottlieb	1938	\N	writer,actor,director	tt0082146,tt0077766,tt0085450
nm0332184	Alfred Gough	1967	\N	writer,producer,director	tt0279600,tt0859163,tt0316654,tt1464540
nm0333060	David S. Goyer	1965	\N	writer,producer,director	tt0118929,tt0372784,tt0468569,tt2975590
nm0334057	Gerrit Graham	1949	\N	actor,writer,soundtrack	tt0092074,tt0071994,tt0081698,tt0099253
nm0334381	Seth Grahame-Smith	1976	\N	writer,producer,director	tt1077368,tt1374989,tt1396484,tt4116284
nm0335022	Carlos Grangel	\N	\N	animation_department,writer,art_department	tt0121164,tt0837562,tt0307453,tt0166813
nm0335469	Joe Grant	1908	2005	writer,animation_department,art_department	tt0114148,tt0032455,tt0033563,tt0043274
nm0336620	F. Gary Gray	1969	\N	director,actor,producer	tt0117603,tt0120768,tt0317740,tt0113118
nm0337582	Adolph Green	1914	2002	soundtrack,writer,music_department	tt0110413,tt0045152,tt0048216,tt0041716
nm0337773	David Gordon Green	1975	\N	producer,director,writer	tt2382396,tt2195548,tt0262432,tt1502407
nm0338169	Michael Green	\N	\N	producer,writer,miscellaneous	tt1133985,tt3315342,tt1856101,tt0813715
nm0338557	Matt Greenberg	\N	\N	writer,producer,actor	tt0253556,tt0120694,tt0837563,tt1121096
nm0338576	Rob Greenberg	\N	\N	producer,director,miscellaneous	tt0460649,tt0106004,tt0765476,tt1563742
nm0339004	Luke Greenfield	1972	\N	director,producer,writer	tt0265208,tt0255798,tt1924435,tt0265647
nm0339030	Paul Greengrass	1955	\N	director,producer,writer	tt4196776,tt0280491,tt0475276,tt0440963
nm0340485	Kevin Grevioux	1962	\N	actor,writer,producer	tt0160127,tt0320691,tt0834001,tt1418377
nm0340580	Harry Grey	1901	1980	writer	tt0087843,tt0055317
nm0341372	Ted Griffin	1970	\N	writer,producer,director	tt0240772,tt0325805,tt0129332,tt1493239
nm0341458	Charles B. Griffith	1930	2007	writer,actor,assistant_director	tt0054033,tt0091419,tt0052818,tt0452608
nm0342278	Jacob Grimm	1785	1863	writer,script_department	tt6208148,tt0029583,tt0398286,tt1479244
nm0342303	Wilhelm Grimm	1786	1859	writer,script_department	tt0029583,tt0398286,tt1479244,tt6208148
nm0342617	Tony Grisoni	1952	\N	writer,producer,director	tt0355295,tt0120669,tt1894476,tt1291544
nm0343165	Winston Groom	1943	\N	writer,actor	tt10028196,tt9055820,tt0109830,tt0156812
nm0344259	J. Mackye Gruber	\N	\N	writer,producer,director	tt0309593,tt3520666,tt0156374,tt0289879
nm0344899	Jean-Pierre Grédy	1920	\N	writer	tt0064117,tt1564367,tt0044409,tt3799298
nm0345174	Luca Guadagnino	1971	\N	director,producer,writer	tt1034415,tt1226236,tt2056771,tt5726616
nm0345488	Paul Guay	\N	\N	actor,writer,producer	tt0110366,tt0125022,tt1344339,tt0119528
nm0348181	James Gunn	1966	\N	writer,producer,director	tt1333125,tt3896198,tt2015381,tt1512235
nm0351929	Derek Haas	1970	\N	writer,producer	tt2805096,tt0493464,tt0381849,tt1646980
nm0352443	Albert Hackett	1900	1995	writer,actor,soundtrack	tt0047472,tt0041507,tt0038650,tt0040308
nm0352778	Bill Hader	1978	\N	actor,producer,writer	tt1571249,tt2096673,tt3152624,tt5348176
nm0353673	Paul Haggis	1953	\N	writer,producer,miscellaneous	tt0108756,tt0478134,tt0405159,tt0375679
nm0354150	Arthur Hailey	1920	2004	writer	tt0051221,tt0040051,tt0085032,tt0065377
nm0355054	Jonathan Hales	1937	\N	writer,actor	tt0088503,tt0121765,tt0277296,tt0103586
nm0355095	Jack Haley	1897	1979	actor,soundtrack,writer	tt0038091,tt0032138,tt0038831,tt0037151
nm0355181	H.B. Halicki	1940	1989	writer,producer,actor	tt0071571,tt0187078,tt0085408,tt0084184
nm0355699	Jason Hall	1972	\N	actor,writer,producer	tt1413495,tt1186370,tt2776878,tt2179136
nm0356539	Brett Halliday	1904	1977	writer,miscellaneous,script_department	tt0038757,tt0373469,tt0034931,tt0038366
nm0357453	John Hamburg	1970	\N	director,producer,writer	tt1155056,tt0343135,tt4501244,tt0970866
nm0358334	Sam Hamm	1955	\N	writer,producer,miscellaneous	tt0096895,tt0103776,tt4448104,tt0290455
nm0358960	Christopher Hampton	1946	\N	writer,soundtrack,producer	tt0094947,tt1571222,tt0258068,tt0783233
nm0359387	John Lee Hancock	1956	\N	writer,director,producer	tt0265662,tt2140373,tt1860242,tt0878804
nm0359504	Ari Handel	\N	\N	producer,writer,actor	tt1619029,tt0414993,tt1959490,tt0947798
nm0361315	Kirk Hanson	\N	\N	art_department,animation_department,writer	tt0103639,tt0133240,tt0116583,tt0119282
nm0361971	E.Y. Harburg	1896	1981	soundtrack,music_department,writer	tt0120184,tt0032138,tt0346156,tt0472033
nm0362566	Catherine Hardwicke	1955	\N	director,production_designer,producer	tt5941692,tt0328538,tt0355702,tt1099212
nm0363125	Kevin Harkey	\N	\N	art_department,writer,animation_department	tt0120855,tt2294629,tt0116583,tt0816562
nm0363837	Dante Harper	\N	\N	production_manager,editor,producer	tt0791268,tt0126260,tt0181868
nm0363958	Sam Harper	\N	\N	writer,producer,director	tt1436562,tt0305711,tt0452598,tt0349205
nm0365383	Thomas Harris	1940	\N	writer	tt0367959,tt0091474,tt0289765,tt0102926
nm0366004	Mary Harron	1953	\N	director,producer,writer	tt0404802,tt0116594,tt1034007,tt0144084
nm0366337	James V. Hart	1947	\N	writer,producer,miscellaneous	tt0117110,tt2400631,tt0283084,tt0426931
nm0366454	Moss Hart	1904	1961	writer,soundtrack,miscellaneous	tt1517451,tt0039416,tt0026144,tt0047522
nm0367838	Ronald Harwood	1934	\N	writer,actor,producer	tt0085461,tt0253474,tt0401383,tt0455824
nm0367895	Patrick Hasburgh	\N	\N	writer,producer,miscellaneous	tt0106126,tt0085029,tt2294449,tt1232829
nm0368007	Gustav Hasford	1947	1993	writer	tt0093058
nm0368074	Shinobu Hashimoto	1918	2018	writer,director,producer	tt0042876,tt0056058,tt0044741,tt0051808
nm0369142	Lawrence Hauben	1931	1985	actor,writer	tt0063955,tt0062138,tt0073486,tt0331408
nm0370696	Randy Haycock	\N	\N	animation_department,art_department,writer	tt0230011,tt0120855,tt0119282,tt0780521
nm0370928	Carey W. Hayes	1961	\N	writer,producer,actor	tt1457767,tt0397065,tt0365929,tt3065204
nm0370937	Chad Hayes	1961	\N	writer,producer,actor	tt1457767,tt0093409,tt3065204,tt0365929
nm0371088	John Michael Hayes	1919	2008	writer,producer	tt0049470,tt0047396,tt0048750,tt0048728
nm0371684	David Hayter	1969	\N	actor,writer,producer	tt0290334,tt0120903,tt0409459,tt0365498
nm0371890	Michel Hazanavicius	1967	\N	writer,director,actor	tt1655442,tt0464913,tt5687334,tt1167660
nm0372942	Ben Hecht	1894	1964	writer,actor,producer	tt0026970,tt0038109,tt0032209,tt0038787
nm0373282	Peter Hedges	1962	\N	writer,director,actor	tt7545524,tt0108550,tt0276751,tt0311648
nm0374302	Allan Heinberg	1967	\N	producer,writer,miscellaneous	tt0451279,tt0159206,tt4396862,tt0413573
nm0374423	Robert A. Heinlein	1907	1988	writer,miscellaneous	tt2397535,tt2126361,tt0120201,tt0042393
nm0374560	Andres Heinz	\N	\N	writer,director	tt0947798,tt0120778,tt2034727
nm0376260	Chris Henchy	1964	\N	producer,writer,actor	tt1386588,tt0457400,tt1790886,tt0387199
nm0377750	Buck Henry	1930	2020	writer,actor,producer	tt0065528,tt0061722,tt0058805,tt0107050
nm0378144	Jonathan Hensleigh	1959	\N	writer,director,producer	tt0330793,tt0112864,tt0120591,tt0120053
nm0378960	Hergé	1907	1983	writer,art_department	tt0055526,tt0261356,tt0983193,tt1037226
nm0379056	Tim Herlihy	1966	\N	writer,producer,actor	tt2120120,tt0120888,tt0116483,tt0072562
nm0379179	Mark Herman	1954	\N	writer,director,producer	tt0914798,tt0246875,tt0147004,tt0115744
nm0380282	Michael Herr	1940	2016	writer,producer,miscellaneous	tt0078788,tt0119978,tt0093058,tt0801820
nm0380819	W. Blake Herron	\N	\N	writer,producer,director	tt0258463,tt0180242,tt1971459,tt0430922
nm0380980	Marshall Herskovitz	1952	\N	producer,writer,director	tt0325710,tt0202198,tt0181865,tt0092492
nm0381221	Adam Herz	1972	\N	writer,producer,actor	tt0328828,tt1605630,tt0163651,tt0252866
nm0381272	Jim Herzfeld	\N	\N	producer,writer,miscellaneous	tt0120645,tt0212338,tt0290002,tt0096566
nm0381416	Grant Heslov	1963	\N	producer,actor,director	tt1124035,tt0277296,tt1024648,tt0433383
nm0381478	Jared Hess	1979	\N	writer,producer,director	tt2461150,tt0457510,tt0374900,tt1161418
nm0382548	Winston Hibler	1910	1976	writer,producer,director	tt0053285,tt0042332,tt0046183,tt0065421
nm0384185	Debra Hill	1950	2005	producer,writer,script_department	tt0080749,tt0077651,tt0116225,tt0082340
nm0384825	John Hillcoat	1961	\N	director,writer,producer	tt0095217,tt0421238,tt0898367,tt1212450
nm0385630	Anthony Hines	\N	\N	writer,producer,actor	tt0443453,tt3381008,tt0889583,tt1645170
nm0386246	Rajkumar Hirani	1962	\N	writer,editor,producer	tt0456144,tt1187043,tt2338151,tt0374887
nm0386570	Oliver Hirschbiegel	1957	\N	director,actor,writer	tt0427392,tt0250258,tt1238291,tt0363163
nm0387706	Gregory Hoblit	1944	\N	producer,director,writer	tt0106079,tt0081873,tt0117381,tt0186151
nm0388076	John Hodge	1964	\N	writer,actor,soundtrack	tt0163978,tt0111149,tt2763304,tt0117951
nm0388113	Tim Hodge	1963	\N	director,actor,art_department	tt0120762,tt0298388,tt0110357,tt1114703
nm0388132	Andrew Hodges	\N	\N	writer	tt0115749,tt2084970,tt0250764,tt0318224
nm0388375	Erich Hoeber	\N	\N	writer,producer,actor	tt1245526,tt4779682,tt1821694,tt1440129
nm0388377	Jon Hoeber	\N	\N	writer,producer,miscellaneous	tt4779682,tt1245526,tt1440129,tt1821694
nm0388755	Samuel Hoffenstein	1890	1947	writer	tt0022835,tt0035415,tt0036261,tt0037008
nm0390511	Carole Holliday	\N	\N	animation_department,art_department,writer	tt1310677,tt0120794,tt0120855,tt0113198
nm0391344	Matt Holloway	\N	\N	writer,miscellaneous,sound_department	tt0450314,tt2283336,tt0371746,tt3371366
nm0392955	Homer	\N	\N	writer	tt0190590,tt0332452,tt1309477,tt5103758
nm0393094	Ishirô Honda	1911	1993	director,assistant_director,writer	tt0080979,tt0047034,tt0089881,tt0831387
nm0393799	Tom Hooper	1972	\N	director,producer,writer	tt1707386,tt0810819,tt0388364,tt1504320
nm0395271	Adam Horowitz	\N	\N	producer,writer,director	tt1843230,tt1104001,tt0312098,tt0411008
nm0397174	Byron Howard	1968	\N	animation_department,director,actor	tt0328880,tt0397892,tt2948356,tt0398286
nm0397322	Gregory Allen Howard	1962	\N	writer,producer	tt0210945,tt0248667,tt3728882,tt4648786
nm0397608	Sidney Howard	1891	1939	writer	tt0021622,tt0032963,tt0031381,tt0027532
nm0398763	Rita Hsiao	\N	\N	miscellaneous,writer	tt0415863,tt0120762,tt4131800,tt0120363
nm0399252	Chris Hubbell	\N	\N	writer,miscellaneous,actor	tt0097757,tt0108938,tt0158428,tt0095776
nm0400403	Roy Huggins	1914	2002	writer,producer,production_manager	tt0106977,tt0110478,tt0058844,tt0120873
nm0400436	Albert Hughes	1972	\N	producer,director,writer	tt0112819,tt1037705,tt0120681,tt0107554
nm0400441	Allen Hughes	1972	\N	producer,director,writer	tt1037705,tt0120681,tt0112819,tt0107554
nm0401076	Victor Hugo	1802	1885	writer,soundtrack	tt0116583,tt1707386,tt0119683,tt1084958
nm0401203	Raman Hui	1963	\N	animation_department,director,art_department	tt0413267,tt0298148,tt0126029,tt3781476
nm0403346	George Hurdalek	1908	1980	writer,assistant_director,director	tt0047173,tt0059742,tt0053227,tt0044677
nm0404754	Willard Huyck	1945	\N	writer,director,actor	tt0091225,tt0087469,tt0069704,tt0079176
